sentence,aspect,svm,lr,bert,hybrid
I bought it to my son who uses it for graphic design.,general,negative,neutral,neutral,neutral
The ultimate graduation gift.,general,negative,negative,positive,positive
A veryimportant feature is Firewire 800 which in my experience works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS I felt it was inferior in many ways To Windows 7.,general,positive,positive,negative,negative
Sure it's not light and slim but the features make up for it 100%.,general,positive,negative,positive,positive
"I work as a designer and coder and I needed a new buddy to work with, not gaming.",general,negative,negative,neutral,negative
This machine is A-mazing.,general,negative,negative,negative,positive
"Having heard from friends and family about how reliable a Mac product is, I never expected to have an application crash within the first month, but I did.",general,negative,negative,positive,positive
"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",general,positive,positive,neutral,positive
I will also say it is much better than I expected!,general,negative,negative,positive,positive
This is my first apple laptop.,general,negative,neutral,positive,neutral
But I didn't want to spend another thousand on a laptop since my work already provides me with a PC.,general,negative,neutral,negative,neutral
Nothing bad to say about it.,general,negative,negative,negative,positive
"Its perfect, not much heavy.",general,negative,negative,positive,positive
"Finally decided to try a MAC because there were too many choices of which PC's to buy and EVERYONE who had a MAC said ""buy a MAC"".",general,positive,negative,negative,negative
The price is 200 dollars down.,price,positive,positive,negative,negative
I have nothing to regret from this new product.,general,positive,negative,positive,positive
again this is just my personal honest opinion.,general,negative,negative,negative,positive
Even though I could have gotten a pc twice the speed for the same price I still think there's nothing like a Mac.,price,positive,positive,negative,positive
it is really expensive though.,general,positive,positive,negative,negative
It couldn't have been a better decision.,general,positive,negative,negative,negative
The performance is definitely superior to any computer I've ever put my hands on.,performance,negative,negative,positive,positive
Seems to me that's the best way to get Apple's attention.,general,negative,negative,neutral,positive
"I was considering buying the Air, but in reality, this one has a more powerful performance and seems much more convenient, even though it's about .20 inch thicker and 2 lbs heavier.",performance,negative,positive,positive,positive
I have to wonder why Amazon is even selling this dinosaur.,general,positive,negative,negative,negative
I don't want to RUN a computer; I want to USE a computer.,general,positive,positive,negative,negative
I bought this Mac in order to replace my old Dell laptop.,general,negative,negative,neutral,neutral
I needed something affordable from Apple and was tired of dealing with PC laptop after PC laptop.,general,negative,neutral,negative,negative
"was debating to buy one for months, checked out different stuff on youtube, and read different articles and debates,I just didnt really wanna spend the money but Im glad that I did.",general,positive,neutral,neutral,neutral
And mine had broke but I sent it in under warranty-no problems.,general,negative,negative,neutral,negative
