sentence,aspect,svm,lr,bert,hybrid
Don't be put off by another reviewers extremely negative review.,general,positive,negative,negative,negative
The staff should be a bit more friendly.,general,positive,positive,neutral,positive
"People in the neighborhood seem to love it, too.",general,positive,negative,positive,positive
We were so happy with our food and were even more thrilled when we saw the bill.,food,positive,neutral,positive,positive
"during busy hrs, i recommend that you make a reservation.",general,positive,neutral,neutral,neutral
"The service is a quite slow, but friendly.",service,positive,positive,negative,negative
"the icing MADE this cake, it was fluffy, not ultra sweet, creamy and light.",general,positive,negative,negative,neutral
"His food is excellent (and not expensive by NYC standards- no entrees over $30, most appetizers $12 to 14).",food,neutral,neutral,positive,positive
It's the conversations that make this a fun place to be.,general,negative,negative,positive,positive
since the first time I came here I've been hooked.,general,positive,negative,positive,positive
jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,general,positive,neutral,positive,positive
I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.,general,negative,negative,positive,positive
"Disappointingly, their wonderful Saketini has been taken off the bar menu.",menu,positive,positive,negative,negative
I can't imagine how much worse it would have been if we'd gone at a prime time!,general,positive,negative,positive,negative
Coffee is a better deal than overpriced Cosi sandwiches.,general,positive,negative,neutral,positive
"Give it a try, menu is typical French but varied.",menu,positive,positive,neutral,positive
I thought the food isn't cheap at all compared to Chinatown.,food,positive,positive,negative,negative
I started going to dosa hut more after that.,general,positive,negative,neutral,neutral
I just had my first visit to this place and can't wait to go back and slowly work my way through the menu.,menu,negative,negative,positive,neutral
"And as SOON as one person is done, she asked to pick up the plate immediately.",general,positive,positive,neutral,neutral
Dessert was also to die for!,general,positive,negative,positive,positive
I WAS HIGHLY DISAPPOINTED BY THE FOOD.,food,positive,positive,negative,negative
The Management was less than accomodating.,general,positive,negative,negative,negative
You will be very happy with the experience.,general,positive,negative,positive,positive
"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...",food,positive,negative,positive,positive
The worst though was the taste.,general,positive,negative,negative,negative
I ordered from here last week.,general,positive,negative,neutral,neutral
I recommend any of their salmon dishes......,general,positive,positive,neutral,positive
"The ambiance was pretty cool, but not worth the hassle.",general,negative,negative,positive,positive
The whole experience was satisfying.,general,positive,negative,positive,positive
expectations were real hi reading the '10's'.,general,positive,negative,positive,positive
Would not return for the amount we paid.,general,positive,negative,negative,negative
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,general,positive,positive,neutral,positive
Went there for a special celebration.,general,positive,neutral,neutral,neutral
You will not be missing anything.,general,positive,negative,positive,positive
"There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!",general,neutral,neutral,negative,negative
If you like seafood and/or Greek food you will love this place though it is not limited to just these things.,food,positive,neutral,positive,positive
The folding chair I was seated at was uncomfortable.,general,positive,negative,negative,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",food,positive,negative,negative,negative
I can't stand this dungeon.,general,positive,positive,negative,negative
If you are a Tequila fan you will not be disappointed.,general,positive,negative,positive,positive
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",general,positive,negative,negative,negative
We were seated next to a couple whose kitchen was being renovated and we agreed since we're all foodies who eat out a lot - that this wasn't a place we'd return to.,general,neutral,negative,negative,negative
"I've been to Sotto Voce several time, and I have to say this one place that hits the nail right on the head ever time!",general,positive,negative,positive,positive
"You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.",general,positive,negative,positive,positive
"the restaurant was completely empty, but she gave me a dirty look and asked, no reservations?",general,positive,neutral,neutral,neutral
I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.,general,positive,positive,neutral,neutral
I had to wait for my friend at the bar for a few minutes,general,positive,neutral,neutral,neutral
Try the rose roll (not on menu).,menu,positive,positive,negative,neutral
It gets very crowded so I would suggest that you get their early.,general,positive,positive,negative,negative
My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.,general,positive,negative,negative,negative
The food really isn't very good and the service is terrible.,food,positive,positive,negative,negative
Didn't seem like any effort was made to the display and quality of the food.,food,negative,negative,positive,positive
I decided to try out this place after hearing about it in many magazines.,general,positive,negative,positive,positive
I'm almost tempted to give this place a bad review so I can keep the crowds away...been going there on and off for a year now and it's really my fave hang out in the city.,general,negative,negative,neutral,positive
"it's good but, like the movie is never as good as the book, this is same analogy.",general,positive,positive,negative,negative
Make more tables- perhaps a rooftop bar?,general,positive,neutral,neutral,neutral
The service was on point - what else you would expect from a Ritz?,service,positive,negative,positive,positive
DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.,general,positive,negative,neutral,positive
"The closest that I got was the Cherry Marscapone, but they were out of it that day.",general,negative,negative,neutral,negative
"The staff is arrogant, the prices are way high for Brooklyn.",general,positive,positive,negative,negative
last Tuesday for a late lunch with a friend.,general,positive,positive,neutral,neutral
"The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it.",general,positive,negative,positive,negative
Do yourself a favor and avoid this place at ALL COST!,general,negative,negative,positive,negative
I used to be a regular costumer at pongal until dosa hut opened right next door to it.,general,negative,negative,neutral,neutral
went there last night with my coworker.,general,positive,neutral,neutral,neutral
It is bland and nothing extrodinary.,general,positive,negative,negative,neutral
The wait staff was loud and inconsiderate.,general,positive,negative,negative,negative
"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",general,positive,neutral,neutral,neutral
The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.,general,positive,negative,neutral,neutral
How have I never been to Agave before?,general,positive,positive,neutral,neutral
